Study_Type,Target_Population,Sample_Size,Duration_Weeks,Primary_Endpoint,Secondary_Endpoints,Inclusion_Criteria,Exclusion_Criteria,Token_Rewards,Data_Collection_Method,Regulatory_Requirements,Implementation_Complexity,Website,Contact_Email,Expected_Cost,Success_Metrics
Fitness Tracker Compliance,Adults 18-65 with sedentary jobs,500-1000,12-Aug,Daily step count increase >20%,"Weight loss, sleep quality, mood improvement",Owns fitness tracker; Sedentary job; Smartphone access,Pregnancy; Cardiovascular disease; Unable to walk,50-200 CTBAL per milestone,Automatic API integration,Minimal - wellness study,Low,https://healthsolutions.fitbit.com/,enterprise@fitbit.com,$25000-50000,>75% completion rate
Sleep Quality Intervention,Adults with sleep complaints,300-600,16-Dec,Pittsburgh Sleep Quality Index improvement,Sleep duration; REM sleep; Daytime alertness,Age 21-65; Sleep complaints; Wearable device,Sleep disorders; Shift work; Medication affecting sleep,100-350 CTBAL per week,Oura/Fitbit sleep tracking,IRB approval recommended,Medium,https://ouraring.com/research,research@ouraring.com,$40000-80000,>2 point PSQI improvement
Nutrition App Adherence,Overweight adults (BMI 25-35),400-800,16-24,Weight loss >=5% body weight,"Dietary adherence, blood markers, waist circumference",BMI 25-35; Smartphone; Motivated to lose weight,Eating disorders; Diabetes; Pregnancy,150-500 CTBAL per milestone,Photo food logging + lab tests,Minimal - lifestyle intervention,Medium,https://www.precisionnutrition.com/,research@precisionnutrition.com,$60000-120000,>=70% achieve 5% weight loss
Meditation App Effectiveness,Adults with mild anxiety,200-400,12-Aug,Generalized Anxiety Disorder 7-item scale,Stress levels; Sleep quality; Heart rate variability,GAD-7 score 5-14; No meditation experience; Smartphone access,Severe mental illness; Current therapy; Meditation practice,75-250 CTBAL per session,App usage tracking + surveys,IRB approval required,Low,https://www.headspace.com/work,enterprise@headspace.com,$30000-60000,>3 point GAD-7 reduction
Workplace Wellness Program,Corporate employees,1000-5000,24-52,Reduction in sick days,"Employee satisfaction, productivity metrics, health screenings",Full-time employee; Voluntary participation,None (population-based study),200-800 CTBAL quarterly,HR metrics + health assessments,Corporate approval only,High,https://www.virginpulse.com/,sales@virginpulse.com,$100000-300000,>15% sick day reduction
Preventive Screening Compliance,Adults 50+ due for colonoscopy,500-1500,24-Dec,Screening completion rate,"Time to completion, patient satisfaction, follow-up adherence",Age 50-75; Due for screening; Insurance coverage,Recent screening; Medical contraindications,300-1000 CTBAL for completion,Electronic health records,Healthcare system approval,High,https://www.cdc.gov/communityhealth/,info@cdc.gov,$80000-200000,>80% screening completion
Cognitive Training Validation,Healthy adults 60+,300-800,16-24,Montreal Cognitive Assessment improvement,"Processing speed, memory, attention, executive function",Age 60+; Cognitively healthy; Computer access,Dementia; Depression; Neurological disorders,150-600 CTBAL per milestone,Computerized cognitive tests,IRB approval required,Medium,https://www.lumosity.com/en/research/,research@lumosity.com,$70000-150000,>2 point MoCA improvement
Heart Rate Variability Training,Adults with high stress jobs,200-500,16-Aug,HRV coherence score improvement,"Stress levels, blood pressure, job performance",High-stress occupation; HRV monitor; Age 25-55,Cardiovascular disease; Pacemaker; Beta-blockers,100-400 CTBAL per training,HRV monitoring devices,Occupational health approval,Medium,https://www.heartmath.org/,research@heartmath.org,$45000-90000,>20% HRV coherence improvement
Diabetes Prevention Program,Pre-diabetic adults,400-1200,52-104,Diabetes incidence reduction,"Weight loss, A1C levels, lifestyle changes",Pre-diabetes (A1C 5.7-6.4); BMI >25; Age 18-65,Type 1 diabetes; Pregnancy; Severe illness,400-1500 CTBAL per milestone,Glucose monitoring + lifestyle tracking,Healthcare provider supervision,High,https://www.cdc.gov/diabetes/prevention/,diabetes@cdc.gov,$150000-400000,>50% diabetes risk reduction
Supplement Efficacy Study,Adults with vitamin D deficiency,300-600,24-Dec,Serum 25(OH)D level normalization,"Bone density, immune function, mood scores",25(OH)D <30 ng/mL; Age 18-70; Willing to supplement,Kidney disease; Hypercalcemia; Supplement use,200-600 CTBAL per compliance check,Blood tests + supplement tracking,Nutritionist supervision,Medium,https://www.crnusa.org/,research@crnusa.org,$80000-160000,>80% achieve normal vitamin D
